,id,title,description,imdb_rating
84,84,Rosebud,"After his birthday party goes wrong, Mr. Burns begins to want his childhood toy, a teddy bear named Bobo; Homer finds that Maggie is in possession of the doll.    ",8.8
85,85,Treehouse of Horror IV,"Homer sells his soul to the Devil for a donut, Bart contends with a gremlin on the side of the school bus which only he can see, and the family discovers that Mr. Burns is a vampire.    ",8.8
86,86,Marge on the Lam,A girls' night out turns into a high speed chase when Marge learns her friend is driving a stolen car.    ,8.0
87,87,Bart's Inner Child,"Brad Goodman, a self-help guru, encourages Springfield to act more like Bart, with disastrous results.    ",7.6
88,88,Boy-Scoutz 'n the Hood,"After joining the Junior Campers while on a sugar high, Bart reluctantly invites Homer to accompany him on the group's annual father-son rafting trip, which soon goes awry.    ",8.6
89,89,The Last Temptation of Homer,Homer's marriage is in trouble when he develops an attraction to a new co-worker; Bart undergoes medical treatments that make him look like a nerd.    ,8.5
90,90,"$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)","Mr. Burns builds a casino when Springfield decides to legalize gambling, with Marge becoming addicted to the slot machines.    ",8.6
91,91,Homer the Vigilante,An outbreak of burglaries inspires Homer to lead a vigilante group.    ,8.2
92,92,Bart Gets Famous,"Bart becomes an overnight sensation as the ""I didn't do it"" boy on Krusty the Clown's show.    ",8.1
93,93,Homer and Apu,Apu moves in with the Simpsons after losing his job when Homer gets ill from the contaminated food; James Woods takes over the Kwik-E-Mart.    ,8.2
94,94,Lisa vs. Malibu Stacy,"Angered by the vacuous phrases her Malibu Stacy doll utters, Lisa works with Malibu Stacy's original designer to create a doll with admirable traits.    ",8.1
95,95,Deep Space Homer,"In an effort to increase the dismal television ratings for their space launches, NASA decides to send an ordinary man into space, and Homer is chosen for the task.    ",8.8
96,96,Homer Loves Flanders,"After Flanders invites Homer to a football game, the pair become friends, but Homer's possessiveness and loutish behaviour slowly turns Ned against him.    ",8.5
97,97,Bart Gets an Elephant,"After Bart receives an elephant as a prize for calling in to a radio station, the animal proves to be too costly to care for and Homer decides to sell it.    ",7.8
98,98,Burns' Heir,"After coming close to death, Mr. Burns decides than it's time to find an heir to his empire, and chooses Bart because of his truly devious nature.    ",8.3
99,99,Sweet Seymour Skinner's Baadasssss Song,"Bart accidentally gets Principal Skinner fired on inspection day, with Ned Flanders taking over as his replacement.    ",8.3
100,100,The Boy Who Knew Too Much,"Bart witnesses the alleged assault of a waiter by Mayor Quimby's nephew, but coming forward will mean admitting to skipping class, and face the consequences.    ",8.3
101,101,Lady Bouvier's Lover,"Grampa falls in love with Marge's mother, but must compete with Mr. Burns for her heart.    ",7.5
102,102,Secrets of a Successful Marriage,"Homer begins teaching a class on how to have a successful marriage, but jeopardizes his own marriage by revealing secrets about himself and Marge.    ",8.0
103,103,Bart of Darkness,"Confined to his room with a broken leg, Bart suspects Ned Flanders of murdering Maude; the family's new swimming pool earns Lisa popularity among the neighborhood kids.    ",8.7
104,104,Lisa's Rival,Lisa is jealous when a new girl in class is smarter than she is; Homer obtains a giant mound of sugar.    ,8.1
105,105,Another Simpsons Clip Show,The family recalls past tales of lost love.    ,5.8
106,106,Itchy & Scratchy Land,A family vacation to Itchy & Scratchy Land turns disastrous when the robots malfunction and turn on the tourists.    ,8.6
107,107,Sideshow Bob Roberts,"When Sideshow Bob is released from prison and is elected Mayor of Springfield, Bart and Lisa suspect foul play and are determined to expose his corruption.    ",8.2
108,108,Treehouse of Horror V,The family's job at Mr. Burns' country estate goes awry when Homer goes mad; Homer's attempt to repair a toaster results in inadvertent time travel; The school staff turn cannibalistic.    ,9.2
109,109,Bart's Girlfriend,Bart falls for Reverend Lovejoy's daughter and is surprised when she becomes a bad influence on him.    ,8.0
110,110,Lisa on Ice,Sibling rivalry between Bart and Lisa ensues when they become the star players of their respective ice hockey teams.    ,8.6
111,111,Homer Badman,Homer accidentally lands himself in trouble with the law and with the kids' babysitter after stealing a gummy replica at a candy convention.    ,8.9
112,112,Grampa vs. Sexual Inadequacy,Homer and Abe hit the road to sell Abe's miraculous aphrodisiac.    ,8.0
113,113,Fear of Flying,Marge goes into therapy to cure her of her traumatizing fear of flying.    ,7.7
114,114,Homer the Great,"Homer becomes a member of a mysterious organization called the Stonecutters and is heralded as ""the chosen one"".    ",9.0
115,115,And Maggie Makes Three,Homer recounts the story of Maggie's birth when the kids ask why there are no photos of her in the family album.    ,8.8
116,116,Bart's Comet,Bart discovers a comet that is on a collision course with Springfield.    ,8.6
117,117,Homie the Clown,"Homer becomes a Krusty the Clown stand-in, but is mistaken for the real Krusty by the Springfield mafia.    ",8.6
118,118,Bart vs. Australia,"In order to prove that toilets flush the opposite direction in Australia, Bart makes a prank call that ends up costing the recipient $900, Bart must apologize.    ",8.5
119,119,Homer vs. Patty and Selma,"Desperate for money, Homer takes a loan from Patty and Selma; Bart discovers a natural talent for ballet.    ",7.8
120,120,A Star Is Burns,"The citizens of Springfield host their own film festival, with popular movie critic Jay Sherman arriving from New York to judge.    ",8.5
121,121,Lisa's Wedding,A fortune teller gives Lisa a look at her wedding in the year 2010.    ,8.3
122,122,Two Dozen and One Greyhounds,"Santa's Little Helper's new mate has puppies, and Mr. Burns schemes to steal them and make them into a coat.    ",8.1
123,123,The PTA Disbands,"Bart manipulates Mrs. Krabappel into leading a teachers' strike against Principal Skinner, but is perturbed when Marge becomes his substitute.    ",8.0
124,124,'Round Springfield,"When Bart is hospitalized, Lisa runs into her mentor Bleeding Gums Murphy, who is also a patient, and becomes devastated when he dies soon after.    ",8.1
125,125,The Springfield Connection,Marge deals with corruption and crime when she joins the Springfield police force.    ,8.2
126,126,Lemon of Troy,"When a group of Shelbyville kids steal Springfield's sacred lemon tree, Bart and his friends venture there to get the tree back.    ",8.7
127,127,Who Shot Mr. Burns? - Part I,"After Mr. Burns steals oil from Springfield Elementary and blocks out the sun, an unknown person shoots him.    ",9.2
128,128,Who Shot Mr. Burns? - Part II,"Mr. Burns is laying in the hospital while the investigation into his shooter begins. Every citizen has motivation, but it's Simpson DNA that has been found.    ",9.0
129,129,Radioactive Man,Milhouse is cast as Radioactive Man's sidekick in a Hollywood production of the comic book.    ,8.3
130,130,Home Sweet Homediddly-Dum-Doodily,"Marge and Homer lose custody of the kids, who are sent to live at the Flanders' house.    ",8.4
131,131,Bart Sells His Soul,Bart casually sells his soul to Milhouse for $5 but soon regrets it; Moe converts his dank bar into a family restaurant.    ,8.8
132,132,Lisa the Vegetarian,"A trip to a local petting zoo convinces Lisa to give up meat, despite excessive pressure to convince her not to do so.    ",8.5
133,133,Treehouse of Horror VI,A lightning storm causes giant advertising mascots to come to life; The children are terrorized by Groundskeeper Willie in their dreams; Homer finds himself trapped in another dimension.    ,8.6
134,134,King-Size Homer,"Homer intentionally gains more weight in order to qualify for disability and work from home, but soon realizes that being morbidly obese comes with its own problems.    ",9.0
135,135,Mother Simpson,"After faking his own death, Homer is reunited with his mother, who harbors a deep secret.    ",8.7
136,136,Sideshow Bob's Last Gleaming,"Sideshow Bob again escapes from prison and takes control of a TV screen at an air show, demanding all television stations immediately go off the air.    ",8.0
137,137,The Simpsons 138th Episode Spectacular,Troy McClure hosts a retrospective of the first 137 episodes of The Simpsons (1989).    ,7.4
138,138,Marge Be Not Proud,Marge's relationship with Bart is strained when he is caught shoplifting before Christmas.    ,8.5
139,139,Team Homer,"Homer starts a bowling team with Moe, Apu and Otto, but Mr. Burns insists on joining after learning that the team was funded with his money; Springfield Elementary introduces uniforms.    ",8.3
140,140,Two Bad Neighbors,"Former President George Bush and his wife, Barbara, move into the Simpsons' neighborhood and soon clash with Bart and Homer.    ",8.5
141,141,Scenes from the Class Struggle in Springfield,"After buying a Chanel suit at a bargain price, Marge finds herself invited to a country club by a former schoolmate. Taken in by the opulence of the place, she is soon overcome by a desperation to fit in.    ",7.7
142,142,Bart the Fink,"Krusty the Clown is left almost broke after Bart inadvertently rats him out to the IRS, forcing Krusty to take drastic action.    ",7.6
143,143,Lisa the Iconoclast,Lisa may figure out what to do when she discovers that Springfield's founding father was actually a murderous thief while researching for an essay.    ,8.1
144,144,Homer the Smithers,"When Smithers is forced to take a vacation, he appoints Homer as his temporary replacement.    ",8.8
145,145,The Day the Violence Died,"Bart and Lisa meet a vagabond who claims to be the creator of Itchy from ""Itchy and Scratchy.""    ",8.0
146,146,A Fish Called Selma,Washed-up movie star Troy McClure starts dating Selma in an attempt to silence bizarre rumors about his personal life and resuscitate his career.    ,8.2
147,147,Bart on the Road,"Bart makes a fake driver's license and takes Milhouse, Martin and Nelson on a huge road trip; Lisa spends time with Homer at the power plant.    ",8.6
148,148,22 Short Films About Springfield,A series of vignettes highlights a day in the life of various Springfield residents.    ,8.9
149,149,Raging Abe Simpson and His Grumbling Grandson in 'The Curse of the Flying Hellfish',"One of Grampa's old war buddies dies, and it's revealed that Mr. Burns is the only other living member of his WWII squad and things go sour quickly.    ",8.5
150,150,Much Apu About Nothing,"Anti-immigration fever sweeps Springfield, which threatens to lead to the deportation of Apu, until Homer decides to reject the mob mentality and help him become a legal citizen.    ",8.1
151,151,Homerpalooza,"In an attempt to prove his coolness to the kids, Homer takes them to a music festival but ends up embarrassing them after being hired in a sideshow.    ",7.9
152,152,Summer of 4 Ft. 2,"After realizing how unpopular she is, a disillusioned Lisa sees the vacation to Ned Flanders' beach house as an opportunity to reinvent herself.    ",8.4
153,153,Treehouse of Horror VII,Bart's Siamese twin swells in the attic; Lisa's science experiment creates a miniature universe of advanced civilization; aliens possess Clinton and Dole.    ,8.4
154,154,You Only Move Twice,"After moving to another town for a new job, Homer must decide whether or not to stay when the family have a hard time with the transfer.    ",9.2
155,155,The Homer They Fall,Homer becomes a boxer after Moe discovers his amazing ability to take a punch.    ,8.1
156,156,"Burns, Baby Burns","The Simpsons try to reunite Mr. Burns with Larry, his slovenly long-lost son.    ",7.6
157,157,Bart After Dark,Marge leads a crusade against a local burlesque house after she discovers Bart working there.    ,8.3
158,158,A Milhouse Divided,Homer questions the state of his marriage after Luann Van Houten demands a divorce from Kirk.    ,8.0
159,159,Lisa's Date with Density,"Lisa develops a crush on Nelson, and tries to reform him; Homer gets an autodialer and decides to make easy money with a telemarketing scam.    ",7.8
160,160,Hurricane Neddy,"After a hurricane destroys Ned Flanders' house, he suffers a nervous breakdown and is forced to confront repressed problems from his childhood.    ",8.7
161,161,El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer),"After eating insanity peppers at a chili cook-off, Homer has a hallucination of a talking coyote urging him to find his soulmate.    ",8.6
162,162,The Springfield Files,Special Agents Mulder and Scully arrive in Springfield after Homer claims to have seen an alien.    ,9.0
163,163,The Twisted World of Marge Simpson,"Marge enters the pretzel vending business, but when she fails, Homer recruits some help from the mob.    ",7.7
164,164,Mountain of Madness,Homer and Mr. Burns get trapped in a snowed-in cabin during a company retreat.    ,8.5
165,165,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,"Marge is stressed from motherhood and hires a British nanny to help out around the house, who struggles to teach Bart and Lisa how to behave.    ",7.6
166,166,The Itchy & Scratchy & Poochie Show,"Homer is cast as Poochie, a new ""Itchy and Scratchy"" character designed to reverse declining ratings; a hip college student moves in with the Simpsons.    ",7.9
167,167,Homer's Phobia,"After Marge befriends John, a gay store owner, Homer worries that his presence will have a negative effect on Bart's sexuality.    ",8.8
168,168,Brother from Another Series,Bart suspects a paroled Sideshow Bob is up to his old tricks when he is hired by his brother Cecil to assist in the construction of a dam.    ,8.2
169,169,"My Sister, My Sitter",Bart is outraged when Lisa becomes his babysitter.    ,7.9
170,170,Homer vs. the Eighteenth Amendment,"After alcohol is banned in Springfield, Homer adopts the moniker of the ""Beer Baron"" to bootleg liquor, prompting an investigation from an uptight Treasury agent.    ",8.8
171,171,Grade School Confidential,"Bart discovers Principal Skinner and Mrs Krabappel kissing, and it's not long before the whole town knows of their secret affair.    ",8.2
172,172,The Canine Mutiny,"When the items Bart purchased with a fake credit card are repossessed, he claims that Santa's Little Helper is the dog he bought instead of his new pet, Laddie.    ",7.6
173,173,The Old Man and the Lisa,Burns loses his fortune and recruits Lisa to help him get it back.    ,7.9
174,174,In Marge We Trust,Marge becomes a church counselor; Homer discovers his face on a Japanese detergent logo.    ,8.1
175,175,Homer's Enemy,Homer's laziness begets the ire of his industrious but arrogant new co-worker Frank Grimes; Bart buys a run-down factory for a dollar.    ,9.3
176,176,The Simpsons Spin-Off Showcase,"Troy McClure presents three spinoffs: ""Chief Wiggins, P.I.,"" ""The Love-Matic Grandpa,"" and ""The Simpson Family Smile-Time Variety Hour.""    ",7.1
177,177,The Secret War of Lisa Simpson,"Bart is sent to a military school to be disciplined; Lisa, seeking a challenge, enrolls with him, but faces discrimination as the school's only girl cadet.    ",7.8
178,178,The City of New York vs. Homer Simpson,"Homer must travel to New York to get his car back, which is illegally parked at World Trade Center Plaza.    ",9.0
179,179,The Principal and the Pauper,"At his 20th anniversary celebration as school principal, Principal Skinner is discovered to be an imposter of the real Seymour Skinner.    ",6.9
180,180,Lisa's Sax,"Homer recounts the story of Bart's first day of school, which corresponds with the story of how Lisa got her saxophone.    ",8.1
181,181,Treehouse of Horror VIII,Homer battles mutants after Springfield is annihilated by a neutron bomb; Bart has his DNA mixed with a fly; Marge is revealed to be a witch in colonial Springfield.    ,8.2
182,182,The Cartridge Family,"After a massive soccer riot, Homer purchases a gun to protect the family.    ",8.2
183,183,Bart Star,"A damning report on childhood obesity in Springfield leads to the formation of a pee-wee football team. After belittling Ned Flanders, Homer ends up coaching the team, but his favoring of Bart makes him unpopular.    ",7.7
184,184,The Two Mrs. Nahasapeemapetilons,"Apu receives a letter from his mother stating that it's time for him fulfilled his arranged marriage obligation, he pretends Marge is his wife.    ",7.7
185,185,Lisa the Skeptic,Townspeople believe Lisa has unearthed the fossiled remains of a angel.    ,8.1
186,186,Realty Bites,Marge becomes a real-estate agent.    ,7.6
187,187,Miracle on Evergreen Terrace,"When Bart accidentally burns down the family's Christmas tree and gifts, he claims that a robber stole everything. As a result, the town gets them a new tree and pitches in to raise funds.    ",7.6
188,188,"All Singing, All Dancing","Homer is disappointed when the western he rented turns out to be a musical, so the family reminds him of the musical moments in the show's history.    ",5.0
189,189,Bart Carny,"Bart and Homer befriend two carnies and invite them to stay with them, but the carnies soon swindle the Simpsons out of their house.    ",7.6
190,190,The Joy of Sect,An evil cult called the Movementarians brainwashes the citizens of Springfield and it's up to Marge to get them back.    ,8.3
191,191,Das Bus,"While the kids become stranded on a desert island, Homer attempts to cash in on the Internet.    ",8.2
192,192,The Last Temptation of Krust,"After a disastrous performance, Krusty changes his image and becomes an edgy stand-up.    ",7.4
193,193,Dumbbell Indemnity,"Homer and Moe attempt insurance fraud so that Moe can support his new girlfriend. When Homer ends up in jail, Moe has to decide whether or not to come forward.    ",7.6
194,194,Lisa the Simpson,"Lisa fears she is losing her intelligence when she learns about the fabled Simpson gene. Meanwhile, Jasper freezes himself in the Kwik-E-Mart freezer.    ",8.0
195,195,This Little Wiggy,"Bart is reluctant to hang out with Ralph Wiggum, until he gains access to Chief Wiggum's master key to the city.    ",7.8
196,196,Simpson Tide,Homer causes an international incident after he joins the Naval reserves.    ,8.1
197,197,The Trouble with Trillions,"Homer is forced to spy for the IRS after an audit. But when he is asked to retrieve a trillion dollar bill from Mr. Burns, he switches sides and the two flee to Cuba for refuge.    ",7.8
198,198,Girly Edition,Bart and Lisa become locked in competition when they anchor a children's news program; Homer adopts a helper monkey.    ,7.8
199,199,Trash of the Titans,Homer becomes the sanitation commissioner for Springfield. His ineptitude pollutes the town and leads to a drastic solution.    ,8.4
200,200,King of the Hill,"After humiliating Bart at a church picnic, Homer resolves to get in shape. Soon, he is contacted by an energy bar company that wants him to climb a mountain as a promotion.    ",8.2
201,201,Lost Our Lisa,Lisa gets lost after she tries to take a bus to a museum.    ,7.7
202,202,Natural Born Kissers,Homer and Marge's attempt to spice up their marriage leads to the couple being chased naked through Springfield.    ,8.0
203,203,Lard of the Dance,Homer and Bart try to start their own grease business; Lisa organizes a school dance.    ,7.6
204,204,The Wizard of Evergreen Terrace,Homer's midlife crisis leads to a disastrous attempt at being an inventor.    ,8.1
205,205,Bart the Mother,"When Bart accidentally kills a mother bird, he tries to make amends by raising the eggs.    ",7.5
